icd6-7,icd8,icd9,icd10,icd10 code,icd10 term,concept_id,concept_name,vocabulary_id,domain_id,standard_concept,
,,,icd10_C678,c67.8,malignant neoplasm of overlapping sites of bladder,4095168,Malignant neoplasm, overlapping lesion of bladder,SNOMED,Condition,S,
icd7_1810,,icd9_1889,icd10_C679,c67.9,malignant neoplasm of bladder, unspecified,196360,Primary malignant neoplasm of bladder,SNOMED,Condition,S,
icd7_1817,icd8_189,icd9_189,icd10_C68,c68,malignant neoplasm of other and unspecified urinary organs,76349,Primary malignant neoplasm of urinary system,SNOMED,Condition,S,
,,icd9_1893,icd10_C680,c68.0,malignant neoplasm of urethra,196049,Primary malignant neoplasm of urethra,SNOMED,Condition,S,
,,icd9_1894,icd10_C681,c68.1,malignant neoplasm of paraurethral glands,200963,Primary malignant neoplasm of paraurethral glands,SNOMED,Condition,S,
,,,icd10_C688,c68.8,malignant neoplasm of overlapping sites of urinary organs,4091486,Malignant neoplasm of overlapping lesion of urinary organs,SNOMED,Condition,S,
,icd8_1899,icd9_1899,icd10_C689,c68.9,malignant neoplasm of urinary organ, unspecified,76349,Primary malignant neoplasm of urinary system,SNOMED,Condition,S,
icd7_192,icd8_190,icd9_190,icd10_C69,c69,malignant neoplasm of eye and adnexa,4160342,Neoplasm of eye region,SNOMED,Condition,S,
,,icd9_1903,icd10_C690,c69.0,malignant neoplasm of conjunctiva,373151,Primary malignant neoplasm of conjunctiva (primary),SNOMED,Condition,S,
,,icd9_1904,icd10_C691,c69.1,malignant neoplasm of cornea,375490,Primary malignant neoplasm of cornea (primary),SNOMED,Condition,S,
,,icd9_1905,icd10_C692,c69.2,malignant neoplasm of retina,377811,Primary malignant neoplasm of retina (primary),SNOMED,Condition,S,
,,icd9_1906,icd10_C693,c69.3,malignant neoplasm of choroid,378696,Primary malignant neoplasm of choroid,SNOMED,Condition,S,
,,icd9_1900,icd10_C694,c69.4,malignant neoplasm of ciliary body,4246808,Primary malignant neoplasm of ciliary body (primary),SNOMED,Condition,S,
,,icd9_1902,icd10_C695,c69.5,malignant neoplasm of lacrimal gland and duct,372567,Primary malignant neoplasm of lacrimal gland,SNOMED,Condition,S,
,,icd9_1907,icd10_C695,c69.5,malignant neoplasm of lacrimal gland and duct,372567,Primary malignant neoplasm of lacrimal gland,SNOMED,Condition,S,
,,icd9_1901,icd10_C696,c69.6,malignant neoplasm of orbit,4092223,Malignant neoplasm of orbital bone,SNOMED,Condition,S,
,,,icd10_C698,c69.8,malignant neoplasm of overlapping sites of eye and adnexa,438095,Overlapping malignant neoplasm of eye and adnexa (primary),SNOMED,Condition,S,
,,icd9_1909,icd10_C699,c69.9,malignant neoplasm of eye, unspecified,374874,Primary malignant neoplasm of eye,SNOMED,Condition,S,
,,,icd10_C70,c70,malignant neoplasm of meninges,4002340,Primary malignant neoplasm of meninges,SNOMED,Condition,S,
,icd8_1921,icd9_1921,icd10_C700,c70.0,malignant neoplasm of cerebral meninges,436926,Primary malignant neoplasm of cerebral meninges,SNOMED,Condition,S,
,icd8_1923,icd9_1923,icd10_C701,c70.1,malignant neoplasm of spinal meninges,134295,Primary malignant neoplasm of spinal meninges,SNOMED,Condition,S,
icd7_1932,,,icd10_C709,c70.9,malignant neoplasm of meninges, unspecified,4002340,Primary malignant neoplasm of meninges,SNOMED,Condition,S,
icd7_1930,icd8_191,icd9_191,icd10_C71,c71,malignant neoplasm of brain,380055,Primary malignant neoplasm of brain,SNOMED,Condition,S,
,,icd9_1910,icd10_C710,c71.0,malignant neoplasm of cerebrum, except lobes and ventricles,4091490,Malignant neoplasm of cerebrum (excluding lobes and ventricles),SNOMED,Condition,S,
,,icd9_1911,icd10_C711,c71.1,malignant neoplasm of frontal lobe,441233,Primary malignant neoplasm of frontal lobe,SNOMED,Condition,S,
,,icd9_1912,icd10_C712,c71.2,malignant neoplasm of temporal lobe,433976,Primary malignant neoplasm of temporal lobe,SNOMED,Condition,S,
,,icd9_1913,icd10_C713,c71.3,malignant neoplasm of parietal lobe,438086,Primary malignant neoplasm of parietal lobe,SNOMED,Condition,S,
,,icd9_1914,icd10_C714,c71.4,malignant neoplasm of occipital lobe,432559,Primary malignant neoplasm of occipital lobe,SNOMED,Condition,S,
,,icd9_1915,icd10_C715,c71.5,malignant neoplasm of cerebral ventricle,432848,Primary malignant neoplasm of cerebral ventricle,SNOMED,Condition,S,
,,icd9_1916,icd10_C716,c71.6,malignant neoplasm of cerebellum,433149,Primary malignant neoplasm of cerebellum,SNOMED,Condition,S,
,,icd9_1917,icd10_C717,c71.7,malignant neoplasm of brain stem,441806,Primary malignant neoplasm of brain stem,SNOMED,Condition,S,
,,,icd10_C718,c71.8,malignant neoplasm of overlapping sites of brain,4003693,Overlapping malignant neoplasm of brain,SNOMED,Condition,S,
,,icd9_1919,icd10_C719,c71.9,malignant neoplasm of  brain, unspecified,380055,Primary malignant neoplasm of brain,SNOMED,Condition,S,
icd7_193,icd8_192,icd9_192,icd10_C72,c72,malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system,4247822,Primary malignant neoplasm of central nervous system,SNOMED,Condition,S,
icd7_1931,icd8_1922,icd9_1922,icd10_C720,c72.0,malignant neoplasm of spinal cord,135491,Primary malignant neoplasm of spinal cord,SNOMED,Condition,S,
,,,icd10_C721,c72.1,malignant neoplasm of cauda equina,4246029,Primary malignant neoplasm of cauda equina,SNOMED,Condition,S,
,,,icd10_C722,c72.2,malignant neoplasm of olfactory nerve,4114198,Malignant tumor of olfactory tract,SNOMED,Condition,S,
,,,icd10_C723,c72.3,malignant neoplasm of optic nerve,4246137,Primary malignant neoplasm of optic nerve,SNOMED,Condition,S,
,,,icd10_C724,c72.4,malignant neoplasm of acoustic nerve,4110889,Malignant tumor of acoustic vestibular nerve,SNOMED,Condition,S,
,,icd9_1920,icd10_C725,c72.5,malignant neoplasm of other and unspecified cranial nerves,433975,Primary malignant neoplasm of cranial nerve,SNOMED,Condition,S,
icd7_1938,,,icd10_C728,c72.8,overlapping lesion of brain and other parts,372849,Overlapping malignant neoplasm of brain and other parts of the central nervous system,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,icd8_1929,icd9_1929,icd10_C729,c72.9,malignant neoplasm of central nervous system, unspecified,4247822,Primary malignant neoplasm of central nervous system,SNOMED,Condition,S,
icd7_194,icd8_193,icd9_193,icd10_C73,c73,malignant neoplasm of thyroid gland,133424,Primary malignant neoplasm of thyroid gland,SNOMED,Condition,S,
icd7_1950,icd8_1940,icd9_1940,icd10_C74,c74,malignant neoplasm of adrenal gland,198104,Primary malignant neoplasm of adrenal gland,SNOMED,Condition,S,
,,,icd10_C740,c74.0,malignant neoplasm of cortex of adrenal gland,4162115,Primary malignant neoplasm of adrenal cortex,SNOMED,Condition,S,
,,,icd10_C741,c74.1,malignant neoplasm of medulla of adrenal gland,4162859,Primary malignant neoplasm of adrenal medulla,SNOMED,Condition,S,
,,,icd10_C749,c74.9,malignant neoplasm of adrenal gland, unspecified,198104,Primary malignant neoplasm of adrenal gland,SNOMED,Condition,S,
icd7_195,icd8_194,icd9_194,icd10_C75,c75,malignant neoplasm of other endocrine and related structures,133420,Primary malignant neoplasm of endocrine gland,SNOMED,Condition,S,
icd7_1951,icd8_1941,icd9_1941,icd10_C750,c75.0,malignant neoplasm of parathyroid gland,139753,Primary malignant neoplasm of parathyroid gland,SNOMED,Condition,S,
icd7_1953,icd8_1943,icd9_1943,icd10_C751,c75.1,malignant neoplasm of pituitary gland,24296,Primary malignant neoplasm of pituitary gland,SNOMED,Condition,S,
,,,icd10_C752,c75.2,malignant neoplasm of craniopharyngeal duct,442134,Primary malignant neoplasm of craniopharyngeal duct,SNOMED,Condition,S,
icd7_1954,icd8_1944,icd9_1944,icd10_C753,c75.3,malignant neoplasm of pineal gland,26361,Primary malignant neoplasm of pineal gland,SNOMED,Condition,S,
,,icd9_1945,icd10_C754,c75.4,malignant neoplasm of carotid body,27235,Primary malignant neoplasm of carotid body,SNOMED,Condition,S,
,,icd9_1946,icd10_C755,c75.5,malignant neoplasm of aortic body and other paraganglia,442122,Primary malignant neoplasm of paraganglion,SNOMED,Condition,S,
icd7_1958,,,icd10_C758,c75.8,malignant neoplasm with pluriglanduar involvement, unspecified,133420,Primary malignant neoplasm of endocrine gland,SNOMED,Condition,S,
,icd8_1949,icd9_1949,icd10_C759,c75.9,malignant neoplasm of endocrine gland, unspecified,133420,Primary malignant neoplasm of endocrine gland,SNOMED,Condition,S,
,icd8_195,icd9_195,icd10_C76,c76,malignant neoplasm of other and ill-defined sites,4114221,Malignant tumor of unknown origin,SNOMED,Condition,S,
,,icd9_1950,icd10_C760,c76.0,malignant neoplasm of head, face and neck,439392,Primary malignant neoplasm,SNOMED,Condition,S,
,,icd9_1951,icd10_C761,c76.1,malignant neoplasm of thorax,439392,Primary malignant neoplasm,SNOMED,Condition,S,
,icd8_1950,icd9_1952,icd10_C762,c76.2,malignant neoplasm of abdomen,197506,Malignant neoplasm of abdomen,SNOMED,Condition,S,
,icd8_1951,icd9_1953,icd10_C763,c76.3,malignant neoplasm pelvis,198988,Primary malignant neoplasm of pelvis,SNOMED,Condition,S,
,,icd9_1954,icd10_C764,c76.4,malignant neoplasm of upper limb,81239,Primary malignant neoplasm of upper limb,SNOMED,Condition,S,
,,icd9_1955,icd10_C765,c76.5,malignant neoplasm of lower limb,201518,Primary malignant neoplasm of lower limb,SNOMED,Condition,S,
,,,icd10_C767,c76.7,malignant neoplasm of other ill-defined sites,443392,Malignant neoplastic disease,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,icd8_1959,icd9_1959,icd10_C768,c76.8,malignant neoplasm of overlapping sites of other and ill-defined sites,435485,Primary malignant neoplasm of ill-defined site,SNOMED,Condition,S,
icd7_198,icd8_196,icd9_196,icd10_C77,c77,secondary and unspecified malignant neoplasm of lymph nodes,318096,Secondary malignant neoplasm of lymph node,SNOMED,Condition,S,
icd7_1980,icd8_1960,icd9_1960,icd10_C770,c77.0,secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck,318096,Secondary malignant neoplasm of lymph node,SNOMED,Condition,S,
icd7_1981,icd8_1961,icd9_1961,icd10_C771,c77.1,secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,439751,Secondary malignant neoplasm of intrathoracic lymph nodes,SNOMED,Condition,S,
icd7_1982,icd8_1962,icd9_1962,icd10_C772,c77.2,secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,192568,Secondary malignant neoplasm of intra-abdominal lymph nodes,SNOMED,Condition,S,
icd7_1983,icd8_1963,icd9_1963,icd10_C773,c77.3,secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes,434298,Secondary malignant neoplasm of lymph nodes of upper limb,SNOMED,Condition,S,
icd7_1984,icd8_1964,icd9_1965,icd10_C774,c77.4,secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes,442182,Secondary malignant neoplasm of lymph nodes of lower limb,SNOMED,Condition,S,
icd7_1987,icd8_1967,icd9_1966,icd10_C775,c77.5,secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,200959,Secondary malignant neoplasm of intrapelvic lymph nodes,SNOMED,Condition,S,
icd7_1988,icd8_1968,icd9_1968,icd10_C778,c77.8,secondary and unspecified malignant neoplasm of lymph nodes of multiple regions,320342,Secondary malignant neoplasm of lymph nodes of multiple sites,SNOMED,Condition,S,
icd7_1989,icd8_1969,icd9_1969,icd10_C779,c77.9,secondary and unspecified malignant neoplasm of lymph node, unspecified,318096,Secondary malignant neoplasm of lymph node,SNOMED,Condition,S,
icd7_165,icd8_197,icd9_197,icd10_C78,c78,secondary malignant neoplasm of respiratory and digestive organs,4147162,Secondary malignant neoplasm of respiratory and digestive systems,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,icd8_1970,icd9_1970,icd10_C780,c78.0,secondary malignant neoplasm of lung,254591,Secondary malignant neoplasm of lung,SNOMED,Condition,S,
,icd8_1971,icd9_1971,icd10_C781,c78.1,secondary malignant neoplasm of mediastinum,434875,Secondary malignant neoplasm of mediastinum,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,icd8_1972,icd9_1972,icd10_C782,c78.2,secondary malignant neoplasm of pleura,72266,Secondary malignant neoplasm of pleura,SNOMED,Condition,S,
,icd8_1973,icd9_1973,icd10_C783,c78.3,secondary malignant neoplasm of other and unspecified respiratory organs,253717,Secondary malignant neoplasm of respiratory tract,SNOMED,Condition,S,
,icd8_1974,icd9_1974,icd10_C784,c78.4,secondary malignant neoplasm of small intestine,198371,Secondary malignant neoplasm of small intestine,SNOMED,Condition,S,
,icd8_1975,icd9_1975,icd10_C785,c78.5,secondary malignant neoplasm of large intestine and rectum,200348,Secondary malignant neoplasm of large intestine,SNOMED,Condition,S,
,icd8_1976,icd9_1976,icd10_C786,c78.6,secondary malignant neoplasm of retroperitoneum and peritoneum,196925,Secondary malignant neoplasm of retroperitoneum and peritoneum,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,icd8_1977,icd9_1977,icd10_C787,c78.7,secondary malignant neoplasm of liver,44806773,Secondary malignant neoplasm of liver and intrahepatic bile duct,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,icd8_1979,icd9_1978,icd10_C788,c78.8,secondary malignant neoplasm of other and unspecified digestive organs,4247962,Secondary malignant neoplasm of gastrointestinal tract,SNOMED,Condition,S,
,icd8_198,icd9_198,icd10_C79,c79,secondary malignant neoplasm of other  and unspecified sites,432851,Secondary malignant neoplastic disease,SNOMED,Condition,S,
,,icd9_1980,icd10_C790,c79.0,secondary malignant neoplasm of kidney and renal pelvis,4315806,Secondary malignant neoplasm of retroperitoneum,SNOMED,Condition,S,
,icd8_1990,icd9_1981,icd10_C791,c79.1,secondary malignant neoplasm of bladder and other and unspecified urinary organs,78987,Secondary malignant neoplasm of urinary system,SNOMED,Condition,S,
,icd8_1981,,icd10_C791,c79.1,secondary malignant neoplasm of bladder and other and unspecified urinary organs,78987,Secondary malignant neoplasm of urinary system,SNOMED,Condition,S,
,icd8_1982,icd9_1982,icd10_C792,c79.2,secondary malignant neoplasm of skin,136354,Secondary malignant neoplasm of skin,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,icd8_1983,icd9_1983,icd10_C793,c79.3,secondary malignant neoplasm of brain and cerebral meninges,4246451,Secondary malignant neoplasm of brain,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,icd8_1984,icd9_1984,icd10_C794,c79.4,secondary malignant neoplasm of other and unspecified parts of nervous system,373425,Secondary malignant neoplasm of nervous system,SNOMED,Condition,S,
,icd8_1985,icd9_1985,icd10_C795,c79.5,secondary malignant neoplasm of bone and bone marrow,432851,Secondary malignant neoplastic disease,SNOMED,Condition,S,
,,icd9_1986,icd10_C796,c79.6,secondary malignant neoplasm of ovary,199752,Secondary malignant neoplasm of ovary,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,icd9_1987,icd10_C797,c79.7,secondary malignant neoplasm of adrenal gland,193144,Secondary malignant neoplasm of adrenal gland,SNOMED,Condition,S,
,,icd9_1988,icd10_C798,c79.8,secondary malignant neoplasm of other specified sites,432851,Secondary malignant neoplastic disease,SNOMED,Condition,S,
,icd8_1989,icd9_1989,icd10_C799,c79.9,secondary malignant neoplasm of unspecified site,4158910,Secondary malignant neoplasm of unknown site,SNOMED,Condition,S,
icd7_199,icd8_199,icd9_199,icd10_C80,c80,malignant neoplasm without specification of site,443392,Malignant neoplastic disease,SNOMED,Condition,S,
,,,icd10_C800,c80.0,malignant neoplasm with site specified as unknown,438701,Disseminated malignancy of unknown primary,SNOMED,Condition,S,
,,,icd10_C809,c80.9,malignant neoplasm without specification of site,432851,Secondary malignant neoplastic disease,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
icd7_201,icd8_201,icd9_201,icd10_C81,c81,hodgkin's disease ,4038835,Hodgkin's disease (clinical),SNOMED,Condition,S,
,,,icd10_C810,c81.0,hodgkin's lymphocytic predominance,4038839,Hodgkin lymphoma, nodular lymphocyte predominance (clinical),SNOMED,Condition,S,
,,icd9_2015,icd10_C811,c81.1,hodgkin's nodular sclerosis,4038842,Hodgkin's disease, nodular sclerosis (clinical),SNOMED,Condition,S,
,,icd9_2016,icd10_C812,c81.2,hodgkin's mixed cellularity,4038843,Hodgkin's disease, mixed cellularity (clinical),SNOMED,Condition,S,
,,icd9_2017,icd10_C813,c81.3,hodgkin lymphoma, lymphocyte-depleted,4041798,Hodgkin's disease, lymphocytic depletion (clinical),SNOMED,Condition,S,
,,icd9_2014,icd10_C814,c81.4,lymphocyte-rich (classical) hodgkin lymphoma,4038841,Lymphocyte-rich classical Hodgkin lymphoma,SNOMED,Condition,S,
,,icd9_2010,icd10_C817,c81.7,other hodgkin's disease,4038835,Hodgkin's disease (clinical),SNOMED,Condition,S,
,,icd9_2011,icd10_C817,c81.7,other hodgkin's disease,4038835,Hodgkin's disease (clinical),SNOMED,Condition,S,
,,icd9_2012,icd10_C817,c81.7,other hodgkin's disease,4038835,Hodgkin's disease (clinical),SNOMED,Condition,S,
,,icd9_2019,icd10_C819,c81.9,hodgkin's disease, unspecified,4038835,Hodgkin's disease (clinical),SNOMED,Condition,S,
,,,icd10_C82,c82,follicular  [nodular] non-hodgkin's lymphoma,4147411,Follicular non-Hodgkin's lymphoma,SNOMED,Condition,S,
,icd8_2020,,icd10_C820,c82.0,follicular lymphoma,4002357,Follicular non-Hodgkin's lymphoma, small cleaved cell (clinical),SNOMED,Condition,S,
,,,icd10_C821,c82.1,non-hodgkin's lymphoma mixed small cleaved and large cell, follicular,4001329,Follicular non-Hodgkin's lymphoma, mixed small cleaved cell and large cell (clinical),SNOMED,Condition,S,
,,,icd10_C822,c82.2,non-hodgkin's lymphoma large cell, follicular,4003833,Follicular non-Hodgkin's lymphoma, large cell (clinical),SNOMED,Condition,S,
,,,icd10_C823,c82.3,follicular lymphoma grade iiia,4003833,Follicular non-Hodgkin's lymphoma, large cell (clinical),SNOMED,Condition,S,
,,,icd10_C824,c82.4,follicular lymphoma grade iiib,4003833,Follicular non-Hodgkin's lymphoma, large cell (clinical),SNOMED,Condition,S,
,,,icd10_C825,c82.5,diffuse follicle centre lymphoma,40486171,Diffuse follicle center lymphoma,SNOMED,Condition,S,
,,,icd10_C826,c82.6,cutaneous follicle centre lymphoma,4301668,Primary cutaneous follicular center B-cell lymphoma,SNOMED,Condition,S,
,,,icd10_C827,c82.7,other types of follicular non-hodgkin's lymphoma,4147411,Follicular non-Hodgkin's lymphoma,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,,icd10_C829,c82.9,follicular non-hodgkin's lymphoma, unspecified,4147411,Follicular non-Hodgkin's lymphoma,SNOMED,Condition,S,
,,,icd10_C83,c83,diffuse non hodgkin's lymphoma,4003830,Diffuse non-Hodgkin's lymphoma,SNOMED,Condition,S,
,,,icd10_C830,c83.0,small cell b-cell lymphoma,4002356,Diffuse non-Hodgkin's lymphoma, small cell (clinical),SNOMED,Condition,S,
,,,icd10_C831,c83.1,non-hodgkin's lymphoma small cleaved cell (diffuse),40481901,Mantle cell lymphoma,SNOMED,Condition,S,
,,,icd10_C832,c83.2,non-hodgkin's lymphoma mixed small and large cell (diffuse),4094544,Malignant lymphoma - mixed small and large cell,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
icd7_2000,icd8_2000,icd9_2000,icd10_C833,c83.3,diffuse large b-cell lymphoma,44808122,Diffuse large B-cell lymphoma,SNOMED,Condition,S,
,,,icd10_C834,c83.4,non-hodgkin's lymphoma immunoblastic (diffuse),4003832,Diffuse non-Hodgkin's lymphoma, immunoblastic (clinical),SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,icd9_2001,icd10_C835,c83.5,lymphoblastic (diffuse) lymphoma,4001328,Diffuse non-Hodgkin's lymphoma, lymphoblastic (clinical),SNOMED,Condition,S,
,,,icd10_C836,c83.6,non-hodgkin's lymphoma undifferentiated (diffuse),4003831,Diffuse non-Hodgkin's lymphoma, undifferentiated,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,icd9_2002,icd10_C837,c83.7,burkitt's tumor,4041800,Burkitt's lymphoma (clinical),SNOMED,Condition,S,
,,icd9_2008,icd10_C838,c83.8,other types of diffuse non-hodgkin's lymphoma,4003830,Diffuse non-Hodgkin's lymphoma,SNOMED,Condition,S,
,,,icd10_C839,c83.9,non-follicular (diffuse) lymphoma, unspecified,4003830,Diffuse non-Hodgkin's lymphoma,SNOMED,Condition,S,
,,,icd10_C84,c84,mature t/nk-cell lymphomas,4212994,Extranodal NK/T-cell lymphoma, nasal type,SNOMED,Condition,S,
icd7_205,icd8_2021,icd9_2021,icd10_C840,c84.0,mycosis fungoides,4040380,Mycosis fungoides (clinical),SNOMED,Condition,S,
,,icd9_2022,icd10_C841,c84.1,sezary's disease,4041799,S√É¬©zary's disease (clinical),SNOMED,Condition,S,
,,icd9_2027,icd10_C844,c84.4,peripheral t-cell lymphoma, not classified,434881,Peripheral T-cell lymphoma (clinical),SNOMED,Condition,S,
,,,icd10_C845,c84.5,other and unspecified t-cell lymphomas,4225982,Mature T-cell AND/OR NK cell neoplasm,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,,icd10_C846,c84.6,anaplastic large cell lymphoma, alk-positive,4299149,Anaplastic large T-cell systemic malignant lymphoma,SNOMED,Condition,S,
,,,icd10_C847,c84.7,anaplastic large cell lymphoma, alk-negative,40488896,Anaplastic large cell lymphoma, ALK negative,SNOMED,Condition,S,
,,,icd10_C848,c84.8,cutaneous t-cell lymphoma, unspecified,4082487,Cutaneous/peripheral T-cell lymphoma,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,,icd10_C849,c84.9,mature t/nk-cell lymphoma, unspecified,4225982,Mature T-cell AND/OR NK cell neoplasm,SNOMED,Condition,S,
,,,icd10_C85,c85,other and unspecified types of non-hodgkin lymphomas,4038838,Non-Hodgkin's lymphoma (clinical),SNOMED,Condition,S,
,,,icd10_C850,c85.0,lymphosarcoma,200662,Lymphosarcoma,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,,icd10_C851,c85.1,b-cell lymphoma, unspecified,434592,B-cell lymphoma (clinical),SNOMED,Condition,S,
,,,icd10_C852,c85.2,mediastinal (thymic) large b-cell lymphoma,40481522,Primary mediastinal (thymic) large B-cell lymphoma,SNOMED,Condition,S,
,,,icd10_C857,c85.7,other specified types of non-hodgkin's lymphoma,4038838,Non-Hodgkin's lymphoma (clinical),SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,,icd10_C859,c85.9,non-hodgkin's lymphoma, unspecified type,4038838,Non-Hodgkin's lymphoma (clinical),SNOMED,Condition,S,
,,,icd10_C86,c86,other specified types of t/nk-cell lymphoma,4227653,T-cell AND/OR NK-cell neoplasm,SNOMED,Condition,S,
,,,icd10_C860,c86.0,extranodal nk/t-cell lymphoma, nasal type,4212994,Extranodal NK/T-cell lymphoma, nasal type,SNOMED,Condition,S,
,,,icd10_C861,c86.1,hepatosplenic t-cell lymphoma,40483374,Hepatosplenic T-cell lymphoma,SNOMED,Condition,S,
,,,icd10_C862,c86.2,enteropathy-type (intestinal) t-cell lymphoma,4082627,Enteropathy-associated T-cell lymphoma,SNOMED,Condition,S,
,,,icd10_C863,c86.3,subcutaneous panniculitis-like t-cell lymphoma,4301666,Subcutaneous panniculitis-like T-cell lymphoma,SNOMED,Condition,S,
,,,icd10_C864,c86.4,blastic nk-cell lymphoma,40482072,Blastic plasmacytoid dendritic cell neoplasm,SNOMED,Condition,S,
,,,icd10_C865,c86.5,angioimmunoblastic t-cell lymphoma,4184976,Angioimmunoblastic T-cell lymphoma,SNOMED,Condition,S,
,,,icd10_C866,c86.6,primary cutaneous cd30-positive t-cell proliferations,4029188,Primary cutaneous CD30+ large T-cell lymphoma,SNOMED,Condition,S,
,,,icd10_C88,c88,malignant immunoproliferative diseases,4003834,Malignant immunoproliferative disease (clinical),SNOMED,Condition,S,
,,,icd10_C880,c88.0,lymphoplasmacytic/lymphoma with igm-production,4098597,Waldenstr√É¬∂m macroglobulinemia,SNOMED,Condition,S,
,,,icd10_C881,c88.1,alpha heavy chain disease,4003835,Alpha heavy chain disease (clinical),SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,,icd10_C882,c88.2,gamma heavy chain disease,4288751,Heavy chain disease,SNOMED,Condition,S,
,,,icd10_C883,c88.3,immunoproliferative small intestinal disease,4003836,Immunoproliferative small intestinal disease (clinical),SNOMED,Condition,S,
,,,icd10_C884,c88.4,extranodal marginal zone b-cell lymphoma of mucosa-associated lymphoid tissue [malt-lyphoma],40482893,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue (MALT-lymphoma),SNOMED,Condition,S,
,,,icd10_C887,c88.7,other malignant immunoproliferative diseases,4003834,Malignant immunoproliferative disease (clinical),SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,,icd10_C889,c88.9,malignant immunoproliferative disease, unspecified,4003834,Malignant immunoproliferative disease (clinical),SNOMED,Condition,S,
icd7_203,icd8_203,icd9_203,icd10_C90,c90,multiple myeloma and malignant plasma cell neoplasms,437233,Multiple myeloma,SNOMED,Condition,S,
,,icd9_2030,icd10_C900,c90.0,multiple myeloma,437233,Multiple myeloma,SNOMED,Condition,S,
,,icd9_2031,icd10_C901,c90.1,plasma cell leukemia,133154,Plasma cell leukemia,SNOMED,Condition,S,
,,,icd10_C902,c90.2,plasmacytoma, extramedullary,4094548,Extramedullary plasmacytoma,SNOMED,Condition,S,
,,icd9_2038,icd10_C903,c90.3,solitary plasmacytoma,4216139,Plasmacytoma,SNOMED,Condition,S,
icd7_2040,icd8_204,icd9_204,icd10_C91,c91,lymphoid leukemia,132853,Lymphoid leukemia,SNOMED,Condition,S,
,icd8_2040,icd9_2040,icd10_C910,c91.0,acute lymphoblastic leukemia,134305,Acute lymphoid leukemia,SNOMED,Condition,S,
,icd8_2041,icd9_2041,icd10_C911,c91.1,chronic lymphocytic leukemia of b-cell type,4082311,B-cell chronic lymphocytic leukemia,SNOMED,Condition,S,
,,,icd10_C912,c91.2,subacute lymphocytic leukemia,136656,Subacute lymphoid leukemia,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,,icd10_C913,c91.3,prolymphocytic leukemia,4173974,B-cell prolymphocytic leukemia,SNOMED,Condition,S,
,,icd9_2042,icd10_C914,c91.4,hairy-cell leukemia,4038845,Hairy cell leukemia (clinical),SNOMED,Condition,S,
,,,icd10_C915,c91.5,adult t-cell lymphoma/leukemia (htlv-1-associated),4003188,Adult T-cell leukemia/lymphoma,SNOMED,Condition,S,
,,,icd10_C916,c91.6,prolymphocytic leukaemia of t-cell type,4079683,T-cell prolymphocytic leukemia,SNOMED,Condition,S,
,,,icd10_C917,c91.7,other lymphoid leukemia,132853,Lymphoid leukemia,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,,icd10_C918,c91.8,burkitt leukaemia (mature b-cell all),4173963,B-cell acute lymphoblastic leukemia,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,icd8_2049,icd9_2049,icd10_C919,c91.9,lymphoid leukemia, unspecified,132853,Lymphoid leukemia,SNOMED,Condition,S,
icd7_2041,icd8_205,icd9_205,icd10_C92,c92,myeloid leukemia,140666,Myeloid leukemia,SNOMED,Condition,S,
,icd8_2050,icd9_2050,icd10_C920,c92.0,acute myeloid leukemia,140352,Acute myeloid leukemia, disease,SNOMED,Condition,S,
